% Model,WG_straight_副本.mph,,
% Version,COMSOL 6.2.0.339,,
% Date,"Sep 14 2025, 10:04",,
% Table,,,
% wg_width (um),sample_freq (1/s),neff (m^2),
0.8,2.12E+14,1.4446515364082828-2.7709421120074537E-5i,1.63E-10
0.8,2.12E+14,1.502768621,5.88E-13
0.8,2.13E+14,1.4432187489097839-6.905224317331557E-5i,1.34E-10
0.8,2.13E+14,1.443136951864281-6.422631803628701E-5i,1.39E-10
0.8,2.13E+14,1.4437926345076635-5.700651726759156E-5i,1.34E-10
0.8,2.13E+14,1.4445080312834613-2.887935886604615E-5i,1.34E-10
0.8,2.13E+14,1.4447387861682148-2.726041241513819E-5i,1.63E-10
0.8,2.13E+14,1.503989494,5.76E-13
0.8,2.14E+14,1.4433174905907902-6.80823578954586E-5i,1.34E-10
0.8,2.14E+14,1.4432389272840553-6.322075561369814E-5i,1.39E-10
0.8,2.14E+14,1.4438859957517807-5.620402006889192E-5i,1.34E-10
0.8,2.14E+14,1.444594738027689-2.8470568145513468E-5i,1.34E-10
0.8,2.14E+14,1.4448250116686183-2.682161173794519E-5i,1.63E-10
0.8,2.14E+14,1.505215533,5.65E-13
0.8,2.15E+14,1.443415103717759-6.712745276627918E-5i,1.34E-10
0.8,2.15E+14,1.443339668970658-6.223454738458422E-5i,1.39E-10
0.8,2.15E+14,1.4439783014532817-5.541668581364768E-5i,1.34E-10
0.8,2.15E+14,1.4446804834944915-2.8069365126120485E-5i,1.34E-10
0.8,2.15E+14,1.4449102355758814-2.6392711155482353E-5i,1.63E-10
0.8,2.15E+14,1.506446551,5.54E-13
0.8,2.16E+14,1.4435116025627996-6.6195725048608E-5i,1.34E-10
0.8,2.16E+14,1.443439177659225-6.126016602036828E-5i,1.39E-10
0.8,2.16E+14,1.4440695728918231-5.4643861818324595E-5i,1.34E-10
0.8,2.16E+14,1.444765287407794-2.7675571570552175E-5i,1.34E-10
0.8,2.16E+14,1.4449944799414014-2.5973414354657316E-5i,1.63E-10
0.8,2.16E+14,1.507682364,5.43E-13
0.8,2.17E+14,1.4436070179352225-6.527767202408307E-5i,1.34E-10
0.8,2.17E+14,1.4435375577660816-6.027805124025871E-5i,1.39E-10
0.8,2.17E+14,1.4441598311187174-5.3885103952353266E-5i,1.34E-10
0.8,2.17E+14,1.4448491690240108-2.7289014309492843E-5i,1.34E-10
0.8,2.17E+14,1.4450777662233172-2.556343662142883E-5i,1.63E-10
0.8,2.17E+14,1.508922791,5.33E-13
0.8,2.18E+14,1.443701371248397-6.437424608522974E-5i,1.34E-10
0.8,2.18E+14,1.4436347541671468-5.938902702678547E-5i,1.39E-10
0.8,2.18E+14,1.4442490963768797-5.3140576037392E-5i,1.34E-10
